date,open,high,low,close,volume
2021-06-02,2250.0000,2264.0000,2208.1799,2222.0000,2286277
2021-06-03,2220.0000,2260.3401,2210.0801,2222.2200,2345031
2021-06-04,2215.0000,2288.0000,2214.0400,2251.5000,3142219
2021-06-07,2265.0000,2279.0000,2240.0100,2271.0000,2546627
2021-06-08,2260.0000,2279.9900,2161.1499,2191.0000,4731363
2021-06-09,2192.0000,2214.0000,2160.1101,2199.5000,2550235
2021-06-10,2195.0000,2251.3701,2190.0801,2238.4800,2556663
2021-06-11,2239.0000,2244.0000,2178.8101,2178.8101,3397066
2021-06-15,2195.1001,2208.8799,2148.0000,2193.0000,2936130
2021-06-16,2192.0000,2195.0000,2148.0000,2158.0000,2759315
2021-06-17,2155.6499,2188.0000,2144.3601,2156.9099,2106753
2021-06-18,2147.0000,2156.5000,2065.0000,2090.9399,5402821
2021-06-21,2085.0000,2099.6899,2050.0000,2081.6399,3548826
2021-06-22,2092.0000,2098.0000,2053.8899,2074.9700,3322818
2021-06-23,2080.0000,2083.0000,2034.1500,2038.0000,3707901
2021-06-24,2040.0100,2080.0000,2021.0000,2068.0500,3147370
2021-06-25,2049.9600,2109.0000,2042.6000,2092.0000,3587543
2021-06-28,2100.0000,2118.0000,2073.0000,2103.0100,2745242
2021-06-29,2108.0000,2115.0000,2051.0000,2062.0000,3303063
2021-06-30,2065.0000,2074.0000,2046.3000,2056.7000,2191566
2021-07-01,2059.9700,2110.0000,2031.6000,2105.0000,3370124
2021-07-02,2075.0000,2075.0000,2011.5000,2013.0000,4627531
2021-07-05,2000.0000,2019.8800,1985.0000,1994.0000,3442095
2021-07-06,1995.0000,2014.0000,1960.0100,2012.9000,3528251
2021-07-07,2010.0000,2028.8800,1999.0100,2004.0000,2812212
2021-07-08,2000.1000,2004.0000,1968.0000,1985.0000,3551669
2021-07-09,1964.5200,1985.9100,1945.0000,1972.1100,3090790
2021-07-12,1975.5500,1998.7800,1940.5000,1961.0000,3901024
2021-07-13,1968.0000,2005.5000,1965.0000,1982.9000,2992471
2021-07-14,1974.0000,1974.5000,1945.0000,1962.0000,3077069
2021-07-15,1955.0200,2013.0000,1950.6000,1997.9900,4219005
